,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/17/2025,Friday,5,ClipperCard,Travel,Debit,Need
1/17/2025,Friday,1.34,Walgreens,Food,Debit,Want
1/17/2025,Friday,2.15,Vending Mach.,Food,Debit,Want
1/17/2025,Friday,12.09,Panda Express,Food,Debit,Need
1/17/2025,Friday,3.62,Bookstore,Food,Debit,Want
1/17/2025,Friday,20.51,Sister/owes,Food,Debit,Want
1/17/2025,Friday,15.97,Sister/owes,Food,Debit,Want
1/18/2025,Saturday,4.29,Walgreens,Food,Debit,Want
1/18/2025,Saturday,7.98,Walgreens,Food,Debit,Want
1/18/2025,Saturday,5,ClipperCard,Travel,Debit,Want
1/18/2025,Saturday,15.37,SuperDuper,Food,Debit,Need
1/18/2025,Saturday,12.38,sister/owes,Food,Debit,Want
1/19/2025,Sunday,15.62,Roxie Theater,Entertainment and Recreation,Debit,Want
1/19/2025,Sunday,10,Bart Clipper,Travel,Debit,Want
1/19/2025,Sunday,12,Coin Purse ,Entertainment and Recreation,Debit,Want
1/19/2025,Sunday,12.99,Pads,Housing,Debit,Need
1/19/2025,Sunday,8,Drink,Food,Debit,Want
1/19/2025,Sunday,10,Bart Clipper,Travel,Debit,Want
1/20/2025,Monday,9.62,Walgreens,Food,Debit,Want
1/20/2025,Monday,5,ClipperCard,Travel,Debit,Want
1/21/2025,Tuesday,5,ClipperCard,Travel,Debit,Want
1/21/2025,Tuesday,3.62,Bookstore,Food,Debit,Want
1/21/2025,Tuesday,60,CareCredit,Bills,Debit,Want
1/21/2025,Tuesday,117.68,CreditCard ,Bills,Debit,Need
1/22/2025,Wednesday,7.25,Sandwich,Food,Debit,Need
1/22/2025,Wednesday,14.12,SuperDuper,Food,Debit,Need
1/22/2025,Wednesday,15.49,Speedway,Food,Debit,Want
1/22/2025,Wednesday,20,Reimbrused,Food,Cash,Want
1/23/2025,Thursday,5.98,Salad,Food,Debit,Need
1/23/2025,Thursday,7.83,Uber,Travel,Debit,Need
1/23/2025,Thursday,3.62,Drink,Food,Cash,Want
1/23/2025,Thursday,15.07,Sandwich,Food,Cash,Want
1/24/2025,Friday,9.68,Walgreens,Food,Debit,Want
1/24/2025,Friday,7.99,Fireside,Food,Debit,Need
1/24/2025,Friday,3.62,Drink,Food,Debit,Want
1/24/2025,Friday,15,ClipperCard,Travel,Debit,Need
1/24/2025,Friday,97.45,Blick Art,Entertainment and Recreation,Credit,Need
1/25/2025,Saturday,15.37,SuperDuper,Food,Debit,Need
1/25/2025,Saturday,8.29,Walgreens,Food,Debit,Want
1/25/2025,Saturday,6.25,WorldWrapps,Food,Debit,Want
1/25/2025,Saturday,8.29,Walgreens,Food,Debit,Want
1/26/2025,Sunday,7.38,Walgreens,Food,Debit,Want
1/26/2025,Sunday,8.30,Lilikoi,Food,Debit,Want
1/26/2025,Sunday,7.38,Allergy Med,Housing,Debit,Need
1/26/2025,Sunday,8.29,Walgreens,Food,Debit,Want
1/26/2025,Sunday,15.37,SuperDuper,Food,Credit,Need
1/27/2025,Monday,8.29 ,Walgreens ,Food,Debit,Want
1/27/2025,Monday,4.99,Walgreens ,Food,Debit,Want
1/28/2025,Tuesday,3.62,Bookstore ,Food,Debit,Need
1/28/2025,Tuesday,9.49,Fireside ,Food,Debit,Need
1/28/2025,Tuesday,5,Clippercard ,Travel,Debit,Need
1/29/2025,Wednesday,10.06,Fireside ,Food,Debit,Need
1/29/2025,Wednesday,3.62,Bookstore,Food,Debit,Want
1/30/2025,Thursday,12.99,Fireside ,Food,Debit,Want
1/30/2025,Thursday,3.62,Bookstore,Food,Debit,Want
1/30/2025,Thursday,5,Clippercard,Travel,Debit,Want
1/30/2025,Thursday,6.55,Fireside ,Food,Debit,Want
1/30/2025,Thursday,7.50,Energy drink,Food,Debit,Want
